library,source_type,file_rows,total_duration_sec,peak_memory_bytes,setup_sec,extract_sec,transform_sec,load_sec
dask,csv,10000,0.2239144420018419,392900608.0,0.0001489559945184,0.008512224492733301,0.01253516301221675,0.2027180985023733
dask,csv,20000,0.28329043247504154,445059072.0,0.00013344499166121574,0.009142980503384,0.01275322998117185,0.2612607769988244
dask,csv,50000,0.4783451374969445,550096896.0,0.00011466249998190011,0.013115216497681048,0.0114566984993871,0.45365855999989435
dask,csv,100000,0.7184090725204442,725293056.0,0.00011297149467278548,0.0131796399946324,0.0097845135169336,0.6953319475142052
dask,csv,150000,1.1346580373259105,725628245.3333334,0.00011504199937913252,0.018120468332199335,0.012704432340494001,1.103718094653838
dask,csv,300000,2.1273178445044323,819094528.0,0.00014598549751095,0.01712917025724885,0.0131972042509005,2.096845484498772
dask,parquet,10000,0.11426195499370805,407842816.0,0.0001349704980384,0.0052682834939332505,0.00870981199841475,0.1001488890033215
dask,parquet,20000,0.15718237349938136,469897216.0,0.00010294550156683532,0.00496844101871825,0.00813487498089665,0.14397611199819943
dask,parquet,50000,0.28601970201998483,597975040.0,0.00011634200927795,0.005829812012962,0.0085911009955452,0.2714824470021994
dask,parquet,100000,0.4564469229953829,781643776.0,8.644450281281024e-05,0.0045131584920454,0.0075003164965892,0.4443470035039354
dask,parquet,150000,0.6839234624931123,920936448.0,9.351350308861583e-05,0.005069592007203,0.008262807998107701,0.6704975489847129
dask,parquet,300000,1.2064607840002282,1135407104.0,9.405548917126795e-05,0.0044427840039133505,0.00796664750669145,1.193957297000452
duckdb,csv,10000,0.1101209085027221,374368256.0,0.01237203199707435,0.042052254008012796,0.0014906914875609,0.054205931010073954
duckdb,csv,20000,0.13392784997995477,412051456.0,0.009154542494798,0.0606051700015086,0.0016328704950864998,0.06253526698856145
duckdb,csv,50000,0.2147793524782173,498604032.0,0.0100775089813396,0.0656808859930606,0.0014806959952692999,0.13754026150854765
duckdb,csv,100000,0.3314618905133102,669911040.0,0.010363697016146,0.06295654848508996,0.00143151950032915,0.256710125511745
duckdb,csv,150000,0.435900418330372,676293290.6666666,0.010556578674974499,0.06467614165740083,0.0013543166569433666,0.3593133813410532
duckdb,csv,300000,0.7372428652306553,856312832.0,0.009687342746474275,0.07550460650236343,0.00135447824141005,0.6506964377404074
duckdb,parquet,10000,0.06520968452969095,372701184.0,0.009905963510391299,0.00076157400326335,0.0014793465088587,0.0530628005071776
duckdb,parquet,20000,0.07230513353715651,409860096.0,0.0080286584998248,0.0006802015122957499,0.0015283190150512,0.06206795450998465
duckdb,parquet,50000,0.13488950698229016,495048704.0,0.0083708205056609,0.0006690699956379,0.00136610248591745,0.12448351399507371
duckdb,parquet,100000,0.23316147598961828,663298048.0,0.00819453450094435,0.00067833799403155,0.0013413099950412,0.22294729349960105
duckdb,parquet,150000,0.33069712853466626,750729216.0,0.0102089215215528,0.00064016701071515,0.0017805899988161,0.318067450003582
duckdb,parquet,300000,0.5840875084977597,1049638912.0,0.00822460799827235,0.00069939398963465,0.00151048450788945,0.5736530220019631
pandas,csv,10000,0.0589400149765424,269746176.0,0.0001265140017494,0.01760145499429195,0.0071100204804679,0.034102025500032995
pandas,csv,20000,0.1089804024813929,291164160.0,0.00014316700980995,0.036180274997604955,0.010699612990720149,0.06195734748325775
pandas,csv,50000,0.2744575099641224,326602752.0,0.00015745198470535,0.08936335549515205,0.0210981114796595,0.16383859100460535
pandas,csv,100000,0.5044179815013194,366311424.0,0.00011665000056374999,0.1759992739971494,0.0441477225103881,0.284154334993218
pandas,csv,150000,0.8220216943106303,399874730.6666667,0.00013111867398636666,0.2647759959994194,0.054621140637512604,0.5024934389997119
pandas,csv,300000,1.6681002412442467,507213824.0,0.0001301320007769,0.5330236730005709,0.1050656754887313,1.0298807607541676
pandas,parquet,10000,0.0485218589747091,286539776.0,9.21159953577444e-05,0.00913318899984005,0.00377885147463525,0.03551770250487605
pandas,parquet,20000,0.0847836545290192,308850688.0,8.435249037574977e-05,0.016449115006253102,0.006121793514466799,0.0621283935179235
pandas,parquet,50000,0.2021062440035166,379371520.0,0.00018460649880575,0.0323545690043829,0.01318811649980485,0.15637895200052296
pandas,parquet,100000,0.3751070115249604,474619904.0,0.00010811600077430652,0.062297042022692,0.02324578250409095,0.28945607099740295
pandas,parquet,150000,0.5814732684957562,492388352.0,0.00011565150634845,0.0901580974896205,0.03451846398820635,0.4566810555115808
pandas,parquet,300000,1.085571675488609,659851264.0,0.00010960501094809999,0.2021266934898449,0.0634120784961851,0.8199232984916307
polars,csv,10000,0.020695894490927402,335630336.0,9.657398913984932e-05,0.00396542951057195,0.0109787774854339,0.0056551135057816
polars,csv,20000,0.02342038300412235,366397440.0,0.00010817051224873497,0.0035185685119358,0.0120768074848456,0.0077168364950921
polars,csv,50000,0.046208757514250395,439074816.0,0.00011151899525425001,0.0053428675018949,0.022217859004740548,0.0185365120123606
polars,csv,100000,0.0670126990153221,565118976.0,0.00010597451182545,0.0082071895012632,0.0330758939962834,0.02562364100595
polars,csv,150000,0.09713338535705886,538494293.3333334,0.00013213700731276666,0.010995510335002666,0.04946760467525257,0.036538133339490735
polars,csv,300000,0.16492458424909268,608324608.0,0.00011045351129719512,0.017069790737878024,0.08911677524883993,0.0586275647510774
polars,parquet,10000,0.01158394649974065,360153088.0,0.00012953049736095,0.00378328248916655,0.0021998045122017503,0.0054713290010113
polars,parquet,20000,0.013450703016132999,395409408.0,0.0001206860033562,0.004657217010389949,0.0021329950104700002,0.0065398049919167
polars,parquet,50000,0.0433511960000032,485562368.0,0.00013609998859465,0.0134091025101952,0.0053355499985627,0.024470443502650548
polars,parquet,100000,0.0564886814972851,638650368.0,0.00013448500249065,0.017439197501516852,0.0051802550005959,0.033734743992681546
polars,parquet,150000,0.0728510440239915,675487744.0,9.044351463670402e-05,0.02265698449627955,0.00822098051139615,0.04188263550167895
polars,parquet,300000,0.1184668505011359,875081728.0,0.0001103840040741,0.04289615948800925,0.01051845650363245,0.06494185050541995
